zipcode,average_response_time
10314,296.9795163491098
10458,259.7528730199457
11206,231.32465839157192
11102,322.2841578068711
11101,305.02655140475457
10032,253.9745767325385
10453,273.40677985825835
10460,264.13135883505663
11220,232.75514506575644
11372,273.3108037578288
11368,272.0560946488657
10451,264.39383725285086
11426,318.661630794702
10019,294.75580553201326
10003,238.10085313833028
11211,231.95564751019424
10454,247.8001576482589
11106,282.35564020728236
11237,202.76008307479296
10027,256.0095580317714
10455,252.58308998982127
10462,279.43770251504395
11223,269.1155839066446
10022,327.0272104165234
11215,222.56593677234463
10452,294.60527821484766
10029,276.9647091696549
11231,250.8771520604243
11207,224.3909805035018
11435,258.51612240178827
10312,280.3883428434858
11104,264.21532796945314
10459,270.9642183868075
11238,233.47338283413038
11239,327.948850760764
10031,273.8155365560022
10017,318.22078998250623
11433,262.3219184249227
10456,273.8335641490004
10466,288.11934680424724
11420,268.80219860221314
10467,318.38424343476447
10001,313.5152108799482
11692,285.1859941987806
10306,316.82017204965746
10025,260.6788818580071
10013,257.78023131144926
10470,339.2764166035194
11226,249.0711082564522
11421,263.71548674834673
11204,243.80348189415042
11235,287.9588175716272
11385,262.00921221595667
10011,254.73091867193622
10039,308.9282209957072
11229,263.0045240961516
10021,298.017042042042
10002,250.13484618492754
11416,258.9609733343699
10471,345.40802159660626
11201,242.44267289128027
11232,234.000995213497
11377,287.6520958497341
10040,297.5063757540729
10037,275.56945900811684
10023,272.154292726672
10036,305.9276420401115
10016,289.9264891846922
10303,268.2117489390217
10028,279.000820825516
10473,313.1652070279348
11694,252.26299340201413
10020,309.6040899795501
11419,228.2686914135733
10457,262.1057751406553
11222,248.64124829490635
10034,274.6279538088795
10065,308.54057674680956
11432,265.3984485190409
10018,312.24870872657453
10009,259.71371158007776
11230,256.4605595414646
10128,312.01633643878756
11212,237.74157355207188
11236,287.89962733280925
11423,259.27352513502285
10075,280.6050235896073
11205,225.75284480671456
10035,301.60714908710315
11217,239.46331259618927
10014,250.0718806110735
11221,199.18329223107807
10472,322.89366677376745
10304,238.32095808383232
10463,293.13385826771656
10038,277.352691914797
11233,217.98360129807634
11208,244.6116724131717
11218,241.3515636615949
10024,261.96727404119133
11216,235.32095887551318
11214,257.510544088378
11234,272.24039746831363
11224,249.7500653350756
10461,304.03558820723214
11429,278.92400342382
10469,282.39983437179586
10012,224.22340636042404
11374,325.7358161720864
10468,304.50981116860424
11225,249.03041228367832
11369,275.6016586264838
11103,301.27816358024694
11434,282.8295148518831
11213,242.74884098465574
11219,231.32003112215446
11105,279.8367555469054
11375,280.09963925533873
10474,284.1069977684957
11418,247.28895755546972
10010,287.6756867809345
10475,297.29354884851955
11373,281.09647739221873
11203,250.93376521653994
11415,294.8518005540166
11354,282.80753330271017
10465,299.9899876598609
10030,244.42040210068433
11691,277.49550025470256
11363,332.4624461509646
10282,310.0858257477243
10307,265.37971050661343
11249,238.04154603902697
11378,279.323377369328
11370,295.36330342428124
11413,279.65417656735514
11210,218.38805626539587
10007,248.83052973712722
10026,268.1600826995496
11209,252.6370791226191
10033,260.49988055993504
11417,277.1941261994766
10305,242.48644219769346
11414,267.5378640776699
11357,302.3420855914782
10301,262.9492054556155
11358,279.2848627913839
10310,228.61114185574618
11367,306.10555219059154
11361,261.97918731417246
11428,264.6136408243376
11001,356.37928802589
11412,259.93745683370423
11355,297.22699709176413
11411,316.4514093395036
11422,298.44432257390577
10005,256.3068167604753
11228,241.99448895475385
11379,296.5653896214136
11040,346.5845532559313
11365,291.7807300720139
11436,229.8476025110191
10309,308.734295617492
10302,225.13105149552882
11364,290.7957737568012
11430,342.33567467652495
10280,300.40292275574114
11004,295.8534503201328
11697,423.5430997876858
11427,328.45407242958237
11693,258.1957097683959
10308,283.67264104459224
11362,335.04289118347896
10004,276.9276364306785
10168,301.99333333333334
11356,288.4203599460874
10044,394.8908995541568
10165,331.65951742627345
11366,249.12804152698172
10103,398.60720411663806
10119,328.3710762331838
10006,258.73732193732195
10121,288.68690851735016
10069,252.92889463477698
10464,299.605447323624
10111,344.9761904761905
11360,367.11986814504047
10112,321.135225375626
10271,252.67741935483872
10278,217.0101809954751
10174,299.7830188679245
10281,304.69544131910766
10106,273.22185430463577
10167,345.35185185185185
10171,333.93333333333334
11695,334.36842105263156
11005,403.62303980699636
10118,297.4201877934272
10151,349.1463414634146
10169,333.2851063829787
10041,237.2063829787234
11242,235.62179487179486
10154,292.1449275362319
10122,317.0810810810811
10155,372.7985611510791
10173,337.7971014492754
10172,318.7625
10107,268.45762711864404
10152,284.01801801801804
10120,325.9132075471698
10055,358.5964912280702
10170,345.35403726708074
10153,337.575
10110,311.18831168831167
10105,280.10360360360363
10279,236.16935483870967
10178,345.8207547169811
11241,229.8231707317073
11109,264.7801724137931
10158,252.08641975308643
10162,331.8629441624365
10179,334.0
10123,358.2105263157895
10176,303.0873786407767
10177,333.56164383561645
10000,400.05128205128204
11251,195.65873015873015
11359,396.85057471264366
10115,262.62820512820514
10045,228.22727272727272
12345,346.55555555555554
10175,295.0
10048,200.32758620689654
10129,325.60869565217394
10803,580.2222222222222
10166,725.0
