zipcode,average_response_time
10030,475.7700104791845
10016,409.5610132769145
11213,468.83516216667425
11208,616.7879192707986
10455,486.7436682075656
10465,469.14662370508955
11209,382.6867783265084
11237,460.1383749259235
10029,458.45530592902026
10282,480.5885722078276
10306,400.68525125913976
11206,423.53970578367563
10004,482.6037673822282
11417,472.4919151038401
10013,496.0961615109933
11692,363.8871034360679
11228,420.9332928810507
11365,457.84961672473867
10314,427.93720159650576
10003,392.5921616750002
10023,452.2079028618929
11419,437.7595529877926
10468,445.11838798417364
11101,526.9361243089321
10011,424.51603631369136
11219,401.74735523723825
11416,468.4847943574242
10002,432.43465720264226
10454,505.58099235226655
11432,441.42045281960816
11238,470.38488712734795
10473,493.3822782691181
11217,403.31339040866834
11434,470.2233498786811
11207,506.87030564125223
11212,449.8326865368561
10456,470.6995973043626
11214,453.6049112552046
10453,485.9278506089454
11235,425.3456980908282
10009,411.8641086349374
10027,480.31265622630883
10460,496.7341339820905
11694,358.2397047785839
10036,495.6359231905465
11232,344.0645749093244
10032,432.5023460205189
10451,450.1107723120312
10458,429.7748094722069
11223,437.26548287379194
10001,480.3495891671893
11373,410.6542372141735
10028,413.0776320616288
11233,503.42238910367723
11372,425.1018703241895
10019,475.63053893256244
10302,408.74528387038544
11385,454.34513220297583
10012,459.52564756109217
10039,538.05700066357
11211,441.8519158795224
11423,482.6971637026904
10463,471.82093574598287
11210,482.95050657429135
11216,490.69161190205904
10031,479.5170108512369
11433,487.333425293903
11224,437.1555903535744
11368,458.3788339180025
11420,484.3134363479489
11377,419.67988381518506
11230,476.7442719370324
10462,464.9006562827197
10459,501.9209724341545
10038,416.51329517126766
10022,471.65475543223533
10035,559.3922651147062
10040,503.8746200336158
10312,439.20974137154184
10304,403.26603096021677
10018,534.3797834930704
11356,557.0181036095006
11375,466.19125580228325
10467,454.61692091252655
11249,488.9565606361829
11422,479.1061428166743
10034,499.19059730511844
10033,450.8967208357516
11215,370.1504364018434
11234,510.44464236177015
11358,409.97307703442084
11103,444.0996644355519
11231,432.53015942797293
11426,414.2464734778494
11236,503.40197500135275
11201,424.7167629305859
10310,391.9421560539493
10010,399.38360813681055
10452,486.31436169216653
10025,458.9296944171911
10041,436.29972502291474
10457,453.454606349683
11435,460.90517404121226
10026,464.2182478101938
10472,508.352392054103
10128,430.08526832097033
11693,378.7074872942149
11204,459.20867660314866
11225,460.5989566184487
11226,476.37046667833954
11203,424.76714204637165
11222,443.74230820725666
10017,474.0169735415421
10014,468.9054727777463
11418,458.6084531976101
11691,383.7284247610785
10305,392.3550165242876
10309,414.43212629097155
11105,452.0500219973603
11362,504.1871812145126
10006,509.40290608160126
10065,446.7190243156446
10461,434.1682333647371
11106,445.3528555934714
11370,506.9585572933291
11355,439.9775184592348
11378,439.6058848614073
11412,450.6872262621487
11379,436.43114876650884
11221,473.60305442141714
10301,410.5190578710983
10475,501.8600750320861
10466,451.2178860912563
11427,446.3405115584073
11361,442.54738690728516
10007,466.21809366239256
10303,450.28683242047794
11220,354.63625877824654
11218,427.00789594606
11205,415.3575838997829
11354,417.41589760237446
10075,388.2397166911666
11229,468.1775681487133
11357,474.5505133314835
11414,512.430001774353
11369,509.6232804035816
10470,480.9246755293994
11367,465.81595257863336
11436,480.8117341069374
11429,416.53715134648786
10024,446.64080912068744
10021,395.7130447211282
11428,416.935746777862
10121,477.16097303014277
10469,443.83807812352217
11102,447.063057875036
11411,435.92149931530844
10471,457.5978756476684
10037,460.9649377147766
11421,497.3662968099861
11413,423.68887869563406
11104,438.82572888806504
11004,381.7490229217281
10474,563.5825355467878
11360,525.3813408860332
10308,452.9960111205125
11239,571.2364502815971
10307,524.2622090212061
10044,605.504167255262
10464,608.7232283464567
11374,442.788142924767
11415,498.5687067348127
11364,451.83464954149673
10280,497.7098143236074
11005,481.59682673111274
11001,385.6467365412101
10119,506.16156670746636
11697,757.2627637848876
11366,390.45644150716674
10020,547.5183506360579
11251,479.9319371727749
11040,407.6146953405018
11363,535.8255194459243
11430,586.7051944519989
10165,455.6272246272246
10005,468.1695617316943
10106,439.837972166998
10271,512.25
10278,505.5915271966527
10178,478.73809523809524
10158,379.09615384615387
10123,539.0878552971576
10168,411.31102578167855
10169,484.0115740740741
10154,515.6264705882353
10069,471.1174116077385
10105,520.9732360097323
10107,462.47669491525426
10177,445.5108695652174
10279,488.89497716894977
10153,530.5521855486173
11241,401.35593220338984
10281,524.6617436874702
10118,427.15942028985506
10112,624.5880108991826
10155,532.2678571428571
10162,402.2526920315865
11109,610.9990118577075
11695,685.9040590405904
11242,498.70940170940173
10000,606.1153635866593
10179,533.4534161490683
10115,537.4513274336283
11359,588.1050347222222
10120,455.54669703872435
10170,537.858310626703
10174,525.4669421487604
10171,459.688622754491
10173,480.79411764705884
10122,463.0777202072539
10151,547.6271186440678
10055,603.6700507614213
10176,471.8211382113821
10803,656.0077519379845
10103,613.5406360424029
10172,494.59245960502693
10167,495.8356807511737
10152,472.12280701754383
10110,552.7565789473684
10111,599.0744960560911
10129,440.1923076923077
10045,613.2608695652174
10048,566.7179487179487
00083,595.8181818181819
10166,792.7142857142857
11371,557.5
10175,501.0
12345,402.0
10080,796.3333333333334
